PubNum,PubDate,PubMainClass,PubSubClass,PubNumClaims
US04072094,1978-02-07,100,3,12
US04070962,1978-01-31,100,209,34
US04070961,1978-01-31,100,185,4
US04070960,1978-01-31,100,49,5
US04069752,1978-01-24,100,112,4
US04068577,1978-01-17,100,224,10
US04068576,1978-01-17,100,219,7
US04068575,1978-01-17,100,45,14
US04066013,1978-01-03,100,341,10
US04179987,1979-12-25,100,345,10
US04178845,1979-12-18,100,11,8
US04177726,1979-12-11,100,214,7
US04177725,1979-12-11,100,38,2
US04177724,1979-12-11,100,26,4
US04177723,1979-12-11,100,8,4
US04176597,1979-12-04,100,244,8
US04176596,1979-12-04,100,88,19
US04175487,1979-11-27,100,8,2
US04174663,1979-11-20,100,344,6
US04174662,1979-11-20,100,7,10
US04174661,1979-11-20,100,5,7
US04173181,1979-11-06,100,231,10
US04172416,1979-10-30,100,118,9
US04172415,1979-10-30,100,346,8
US04172414,1979-10-30,100,4,24
US04170936,1979-10-16,100,39,1
US04170935,1979-10-16,100,121,28
US04170934,1979-10-16,100,100,18
US04169412,1979-10-02,100,257,8
US04169411,1979-10-02,100,255,8
US04169410,1979-10-02,100,5,8
US04168661,1979-09-25,100,218,4
US04168660,1979-09-25,100,45,10
US04168659,1979-09-25,100,43,14
US04167903,1979-09-18,100,34,4
US04167902,1979-09-18,100,3,3
US04166415,1979-09-04,100,346,19
US04166414,1979-09-04,100,43,5
US04165685,1979-08-28,100,282,2
US04164178,1979-08-14,100,99,25
US04164177,1979-08-14,100,40,32
US04164176,1979-08-14,100,4,5
US04163420,1979-08-07,100,223,7
US04163419,1979-08-07,100,89,1
US04161911,1979-07-24,100,96,10
US04161910,1979-07-24,100,26,13
US04161140,1979-07-17,100,350,21
US04160409,1979-07-10,100,257,3
US04158995,1979-06-26,100,295,2
US04158994,1979-06-26,100,3,2
US04158332,1979-06-19,100,127,9
US04158331,1979-06-19,100,5,15
US04157066,1979-06-05,100,46,3
US04157065,1979-06-05,100,45,1
US04157064,1979-06-05,100,39,7
US04157063,1979-06-05,100,3,17
US04156387,1979-05-29,100,257,5
US04156386,1979-05-29,100,215,7
US04156385,1979-05-29,100,3,7
US04155301,1979-05-22,100,270,18
US04155300,1979-05-22,100,270,6
US04155299,1979-05-22,100,117,8
US04155298,1979-05-22,100,87,14
US04155297,1979-05-22,100,52,30
US04155296,1979-05-22,100,3,5
US04154272,1979-05-15,100,195,1
US04154164,1979-05-15,100,153,7
US04154163,1979-05-15,100,98R,11
US04154162,1979-05-15,100,88,4
US04154161,1979-05-15,100,51,13
